name,value,year,lastValue,rank
Action,11215,2019.05,11214,1
Adventure,5249,2019.05,5249,2
Casual,4371,2019.05,4371,3
Indie,2616,2019.05,2616,4
Violent,719,2019.05,719,5
Simulation,631,2019.05,631,6
Strategy,532,2019.05,532,7
RPG,416,2019.05,416,8
Free to Play,395,2019.05,395,9
Sexual Content,245,2019.05,245,10
Action,11214,2019.04,11113,1
Adventure,5249,2019.04,5148,2
Casual,4371,2019.04,4281,3
Indie,2616,2019.04,2561,4
Violent,719,2019.04,719,5
Simulation,631,2019.04,624,6
Strategy,532,2019.04,527,7
RPG,416,2019.04,412,8
Free to Play,395,2019.04,386,9
Sexual Content,245,2019.04,245,10
Action,11113,2019.03,11754,1
Adventure,5148,2019.03,5129,2
Casual,4281,2019.03,4171,3
Indie,2561,2019.03,2493,4
Violent,719,2019.03,719,5
Simulation,624,2019.03,614,6
Strategy,527,2019.03,522,7
RPG,412,2019.03,391,8
Free to Play,386,2019.03,376,9
Sexual Content,245,2019.03,245,10
Action,11754,2019.02,11518,1
Adventure,5129,2019.02,4919,2
Casual,4171,2019.02,4168,3
Indie,2493,2019.02,2423,4
Violent,719,2019.02,719,5
Simulation,614,2019.02,618,6
Strategy,522,2019.02,519,7
RPG,391,2019.02,381,8
Free to Play,376,2019.02,359,9
Sexual Content,245,2019.02,245,10
Action,11518,2019.01,11286,1
Adventure,4919,2019.01,4781,2
Casual,4168,2019.01,3971,3
Indie,2423,2019.01,2354,4
Violent,719,2019.01,718,5
Simulation,618,2019.01,597,6
Strategy,519,2019.01,514,7
RPG,381,2019.01,369,8
Free to Play,359,2019.01,351,9
Sexual Content,245,2019.01,245,10
Action,11286,2018.12,11138,1
Adventure,4781,2018.12,4671,2
Casual,3971,2018.12,3837,3
Indie,2354,2018.12,2292,4
Violent,718,2018.12,717,5
Simulation,597,2018.12,585,6
Strategy,514,2018.12,516,7
RPG,369,2018.12,358,8
Free to Play,351,2018.12,341,9
Sexual Content,245,2018.12,245,10
Action,11138,2018.11,9761,1
Adventure,4671,2018.11,4521,2
Casual,3837,2018.11,3682,3
Indie,2292,2018.11,2214,4
Violent,717,2018.11,717,5
Simulation,585,2018.11,569,6
Strategy,516,2018.11,497,7
RPG,358,2018.11,351,8
Free to Play,341,2018.11,328,9
Sexual Content,245,2018.11,245,10
Action,9761,2018.10,9481,1
Adventure,4521,2018.10,4412,2
Casual,3682,2018.10,3565,3
Indie,2214,2018.10,2132,4
Violent,717,2018.10,714,5
Simulation,569,2018.10,555,6
Strategy,497,2018.10,489,7
RPG,351,2018.10,341,8
Free to Play,328,2018.10,316,9
Sexual Content,245,2018.10,245,10
Action,9481,2018.09,9211,1
Adventure,4412,2018.09,4255,2
Casual,3565,2018.09,3427,3
Indie,2132,2018.09,2161,4
Violent,714,2018.09,694,5
Simulation,555,2018.09,539,6
Strategy,489,2018.09,485,7
RPG,341,2018.09,324,8
Free to Play,316,2018.09,313,9
Sexual Content,245,2018.09,241,10
Action,9211,2018.08,8934,1
Adventure,4255,2018.08,4139,2
Casual,3427,2018.08,3276,3
Indie,2161,2018.08,1991,4
Violent,694,2018.08,669,5
Simulation,539,2018.08,531,6
Strategy,485,2018.08,478,7
RPG,324,2018.08,321,8
Free to Play,313,2018.08,292,9
Sexual Content,241,2018.08,231,10
Action,8934,2018.07,8663,1
Adventure,4139,2018.07,4112,2
Casual,3276,2018.07,3131,3
Indie,1991,2018.07,1924,4
Violent,669,2018.07,631,5
Simulation,531,2018.07,525,6
Strategy,478,2018.07,472,7
RPG,321,2018.07,314,8
Free to Play,292,2018.07,284,9
Sexual Content,231,2018.07,222,10
Action,8663,2018.06,8436,1
Adventure,4112,2018.06,3882,2
Casual,3131,2018.06,2994,3
Indie,1924,2018.06,1869,4
Violent,631,2018.06,611,5
Simulation,525,2018.06,516,6
Strategy,472,2018.06,469,7
RPG,314,2018.06,318,8
Free to Play,284,2018.06,273,9
Sexual Content,222,2018.06,216,10
Action,8436,2018.05,8193,1
Adventure,3882,2018.05,3754,2
Casual,2994,2018.05,2865,3
Indie,1869,2018.05,1792,4
Violent,611,2018.05,585,5
Simulation,516,2018.05,499,6
Strategy,469,2018.05,464,7
RPG,318,2018.05,313,8
Free to Play,273,2018.05,265,9
